,0
210,(99.99999867761447+0j)
211,(99.9999987452676+0j)
212,(99.99999881245961+0j)
213,(99.99999887834868+0j)
214,(99.99999893627285+0j)
215,(99.99999899093189+0j)
216,(99.99999904418135+0j)
217,(99.99999909426535+0j)
218,(99.99999914198574+0j)
219,(99.99999918784114+0j)
220,(99.99999923257761+0j)
221,(99.99999927601563+0j)
222,(99.99999931530729+0j)
223,(99.99999935204761+0j)
224,(99.99999938682974+0j)
225,(99.99999942091071+0j)
226,(99.99999945400747+0j)
227,(99.99999948528438+0j)
228,(99.99999951292375+0j)
229,(99.99999953914507+0j)
230,(99.9999995644773+0j)
231,(99.999999588838+0j)
232,(99.99999961104272+0j)
233,(99.99999963174218+0j)
234,(99.99999965175591+0j)
235,(99.99999967086501+0j)
236,(99.99999968869206+0j)
237,(99.99999970528366+0j)
238,(99.99999972083236+0j)
239,(99.99999973539727+0j)
240,(99.99999974885964+0j)
241,(99.99999976074773+0j)
242,(99.99999977195684+0j)
243,(99.99999978278433+0j)
244,(99.99999979295383+0j)
245,(99.99999980269479+0j)
246,(99.99999981231767+0j)
247,(99.99999982153514+0j)
248,(99.99999983046625+0j)
249,(99.99999983885432+0j)
250,(99.99999984691176+0j)
251,(99.99999985502647+0j)
252,(99.99999986241147+0j)
253,(99.99999986963053+0j)
254,(99.99999987659712+0j)
255,(99.99999988346553+0j)
256,(99.9999998897235+0j)
257,(99.99999989560501+0j)
258,(99.99999990123425+0j)
259,(99.99999990619699+0j)
260,(99.99999991099524+0j)
261,(99.99999991567661+0j)
262,(99.99999992008131+0j)
263,(99.99999992424448+0j)
264,(99.99999992829193+0j)
265,(99.99999993205155+0j)
266,(99.99999993568971+0j)
267,(99.99999993909124+0j)
268,(99.99999994241037+0j)
269,(99.99999994555623+0j)
270,(99.99999994860669+0j)
271,(99.99999995116993+0j)
272,(99.99999995368564+0j)
273,(99.99999995570688+0j)
274,(99.99999995764769+0j)
275,(99.99999995952581+0j)
276,(99.9999999613742+0j)
277,(99.99999996309748+0j)
278,(99.99999996477563+0j)
279,(99.9999999664096+0j)
280,(99.99999996789184+0j)
281,(99.99999996933968+0j)
282,(99.99999997071585+0j)
283,(99.99999997204507+0j)
284,(99.99999997331392+0j)
285,(99.99999997456774+0j)
286,(99.99999997579998+0j)
287,(99.99999997700202+0j)
288,(99.99999997815036+0j)
289,(99.99999997926149+0j)
290,(99.99999998031537+0j)
291,(99.99999998130818+0j)
292,(99.99999998227813+0j)
293,(99.9999999831639+0j)
294,(99.99999998399767+0j)
295,(99.99999998473422+0j)
296,(99.9999999854232+0j)
297,(99.99999998610886+0j)
298,(99.99999998674407+0j)
299,(99.99999998736253+0j)
300,(99.99999998796932+0j)
301,(99.99999998855414+0j)
302,(99.99999998912153+0j)
